Key,English,Portuguese
Lobby.MainMenu,main menu,menu principal
Lobby.InsertName,enter name...,insira nome...
Lobby.CreateLobby,create lobby,criar lobby
Lobby.QuickJoin,join any lobby,entrar em um lobby
Lobby.CodeJoin,join code lobby,entrar com código
Lobby.InsertCode,enter code...,insira código...
Lobby.InsertLobbyName,enter lobby name...,insira nome do lobby...
Lobby.CreatePrivate,create private,criar privado
Lobby.CreatePublic,create public,criar público
Lobby.Close,close,fechar
Lobby.Connecting,connecting...,conectando...
